Algorithm,Function,Dimension,Min,Max,Mean,Median,StdDev,MaxTemp,MinTemp,CoolingDecr,NumIterations,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,5,122.7793949,610.2613479,387.5067498,419.5224765,124.9510813,1000,0.05,0.99,50,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,5,378.776411,1038.652654,752.7496613,740.0155498,191.8416449,1000,0.1,0.95,10,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,5,234.9149325,771.9388718,552.8447016,573.6606359,157.3062704,1000,0.1,0.98,20,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,5,174.5958278,602.7144748,411.773846,422.7876837,107.2861169,1000,0.1,0.99,50,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,5,310.073549,925.0756498,666.931834,702.0191071,165.4801166,5000,0.1,0.95,10,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,5,140.194095,723.0755752,434.294635,422.5666321,144.2046172,5000,0.1,0.98,20,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,5,278.5217827,709.5453648,505.2136408,512.7922448,107.1825079,5000,0.1,0.99,50,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,5,371.301499,906.855194,629.773621,610.9770715,169.8513977,5000,0.01,0.95,10,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,5,302.6665598,824.2240329,514.8634748,500.2549412,118.4024953,5000,0.01,0.98,20,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,5,315.8935476,651.9480659,489.1996104,509.6394079,91.7021629,5000,0.01,0.99,50,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,5,444.9560912,1014.349243,678.4719341,678.3263331,143.7053489,5000,0.05,0.95,10,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,5,260.5192226,730.2442957,496.6731902,488.731963,139.9220098,5000,0.05,0.98,20,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,5,216.7511499,626.1534592,520.949161,548.3955309,87.90286359,5000,0.05,0.99,50,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,5,270.1304829,984.9232131,691.0193981,731.8986714,183.698456,10000,1,0.95,10,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,5,236.4401718,689.8022773,490.6057788,505.223085,133.69682,10000,1,0.98,20,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,5,71.59117569,590.7040535,470.7597095,510.4244856,111.1067825,10000,1,0.99,50,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,5,250.1432507,1046.419022,664.7477985,693.3251844,199.1805706,10000,0.01,0.95,10,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,5,233.0045117,728.6942308,510.0403474,474.2899541,139.4028929,10000,0.01,0.98,20,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,5,97.21044647,688.337253,469.2195164,506.7160789,134.3674326,10000,0.01,0.99,50,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,5,275.8579842,976.1365091,619.7094422,629.3814101,173.5181366,10000,0.05,0.95,10,,,,,,,,,,,,,,,
